"GEO_ID","NAME","H8_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US13313","Whitfield County, Georgia","101776",
"0500000US13315","Wilcox County, Georgia","6886",
"0500000US13317","Wilkes County, Georgia","9460",
"0500000US13319","Wilkinson County, Georgia","8771",
"0500000US13321","Worth County, Georgia","20604",
"0500000US15001","Hawaii County, Hawaii","197901",
"0500000US15003","Honolulu County, Hawaii","981641",
"0500000US15005","Kalawao County, Hawaii","65",
"0500000US15007","Kauai County, Hawaii","72367",
"0500000US15009","Maui County, Hawaii","162556",
"0500000US16001","Ada County, Idaho","481508",
"0500000US16003","Adams County, Idaho","4355",
"0500000US16005","Bannock County, Idaho","84778",
"0500000US16007","Bear Lake County, Idaho","6319",
"0500000US16009","Benewah County, Idaho","9461",
"0500000US16011","Bingham County, Idaho","47483",
"0500000US16013","Blaine County, Idaho","23903",
"0500000US16015","Boise County, Idaho","7580",
"0500000US16017","Bonner County, Idaho","46584",
"0500000US16019","Bonneville County, Idaho","122312",
"0500000US16021","Boundary County, Idaho","11933",
"0500000US16023","Butte County, Idaho","2559",
"0500000US16025","Camas County, Idaho","1077",
"0500000US16027","Canyon County, Idaho","227896",
"0500000US16029","Caribou County, Idaho","6932",
"0500000US16031","Cassia County, Idaho","24297",
"0500000US16033","Clark County, Idaho","789",
"0500000US16035","Clearwater County, Idaho","8050",
"0500000US16037","Custer County, Idaho","4164",
"0500000US16039","Elmore County, Idaho","27577",
"0500000US16041","Franklin County, Idaho","14106",
"0500000US16043","Fremont County, Idaho","12934",
"0500000US16045","Gem County, Idaho","18859",
"0500000US16047","Gooding County, Idaho","15477",
"0500000US16049","Idaho County, Idaho","16052",
"0500000US16051","Jefferson County, Idaho","30709",
"0500000US16053","Jerome County, Idaho","24028",
"0500000US16055","Kootenai County, Idaho","169583",
"0500000US16057","Latah County, Idaho","36861",
"0500000US16059","Lemhi County, Idaho","7898",
"0500000US16061","Lewis County, Idaho","3426",
"0500000US16063","Lincoln County, Idaho","5085",
"0500000US16065","Madison County, Idaho","38158",
"0500000US16067","Minidoka County, Idaho","21526",
"0500000US16069","Nez Perce County, Idaho","40964",
"0500000US16071","Oneida County, Idaho","4519",
"0500000US16073","Owyhee County, Idaho","11741",
"0500000US16075","Payette County, Idaho","25204",
"0500000US16077","Power County, Idaho","7810",
"0500000US16079","Shoshone County, Idaho","12978",
"0500000US16081","Teton County, Idaho","11603",
"0500000US16083","Twin Falls County, Idaho","88343",
